Region,Year,Season,ACI_Combined_Seasonal_Smoothed,ACI_Combined_Seasonal_Unsmoothed,CDD_Seasonal_Smoothed,CDD_Seasonal_Unsmoothed,CDD_Seasonal_Unsmoothed_Unstandardized,Rx5Day_Seasonal_Smoothed,Rx5Day_Seasonal_Unsmoothed,Rx5Day_Seasonal_Unsmoothed_Unstandardized,Sea_Level_Seasonal_Smoothed,Sea_Level_Seasonal_Unsmoothed,Sea_Level_Seasonal_Unsmoothed_Unstandardized,T10_Seasonal_Smoothed,T10_Seasonal_Unsmoothed,T10_Seasonal_Unsmoothed_Unstandardized,T90_Seasonal_Smoothed,T90_Seasonal_Unsmoothed,T90_Seasonal_Unsmoothed_Unstandardized,WP90_Seasonal_Smoothed,WP90_Seasonal_Unsmoothed,WP90_Seasonal_Unsmoothed_Unstandardized
USC,1962,4,0.02,-0.04,0.51,0.14,36.1,-0.25,-0.45,36.04,-0.37,-0.37,7058.32,-0.22,-1.05,7.15,-0.2,0.61,11.17,0.2,-1.2,8.54
ALA,1963,1,0.18,0.1,-0.16,-1.65,27.95,0.31,0.95,24.45,1.19,1.19,7175.67,-0.01,-0.72,6.07,-0.33,1.15,17.59,0.04,-1.15,7.36
CAR,1963,1,0.03,1.74,,,,0.37,3.26,20.03,,,,-0.02,-0.86,6.07,-0.28,0.7,14.0,-0.01,2.11,16.22
CEA,1963,1,-0.32,-0.99,-0.38,-0.17,16.45,-0.16,-0.93,32.15,-0.73,-0.73,6895.42,0.06,1.98,19.46,-0.2,-0.99,5.96,-0.39,-0.54,8.53
CWP,1963,1,0.07,-0.1,0.33,-0.2,43.7,-0.45,-0.24,45.04,-0.04,-0.04,7025.89,-0.23,-0.03,9.7,0.27,2.12,18.95,0.08,-1.24,5.5
MID,1963,1,-0.03,-0.85,0.56,0.0,23.76,-0.2,-2.03,11.85,,,,0.04,1.95,20.29,-0.24,-0.18,9.42,-0.22,-0.1,9.77
NEA,1963,1,-0.09,0.2,0.6,1.67,18.09,0.03,0.21,42.66,-1.1,-1.1,6955.0,-0.27,0.15,11.0,0.05,0.96,13.3,-0.37,0.08,10.22
NEF,1963,1,0.02,-0.67,1.24,0.55,18.5,-0.46,-1.25,22.3,-0.51,-0.51,6626.23,-0.09,1.75,16.78,-0.21,0.1,10.48,-0.03,0.36,10.58
NPL,1963,1,0.25,0.49,0.01,-0.99,27.62,-0.32,1.42,14.76,1.17,1.17,7378.33,-0.03,-0.17,9.34,-0.1,0.68,14.03,0.73,0.56,11.66
NWP,1963,1,0.41,0.5,0.68,-1.15,21.02,0.65,2.54,59.75,-0.24,-0.24,7061.05,-0.11,-0.63,6.36,0.1,1.85,19.99,1.13,-0.42,9.12
