Region,Year,Season,ACI_Combined_Seasonal_Smoothed,ACI_Combined_Seasonal_Unsmoothed,CDD_Seasonal_Smoothed,CDD_Seasonal_Unsmoothed,CDD_Seasonal_Unsmoothed_Unstandardized,Rx5Day_Seasonal_Smoothed,Rx5Day_Seasonal_Unsmoothed,Rx5Day_Seasonal_Unsmoothed_Unstandardized,Sea_Level_Seasonal_Smoothed,Sea_Level_Seasonal_Unsmoothed,Sea_Level_Seasonal_Unsmoothed_Unstandardized,T10_Seasonal_Smoothed,T10_Seasonal_Unsmoothed,T10_Seasonal_Unsmoothed_Unstandardized,T90_Seasonal_Smoothed,T90_Seasonal_Unsmoothed,T90_Seasonal_Unsmoothed_Unstandardized,WP90_Seasonal_Smoothed,WP90_Seasonal_Unsmoothed,WP90_Seasonal_Unsmoothed_Unstandardized
CWP,2014,4,0.19,0.83,-0.44,-1.85,31.76,0.9,1.34,45.03,0.62,0.62,7126.13,-0.37,-0.28,8.26,0.3,2.61,19.64,-0.63,0.11,10.34
MID,2014,4,0.18,-0.72,-0.64,-1.67,19.43,0.43,0.24,46.01,,,,-0.35,1.78,16.63,0.09,-1.36,5.03,0.68,0.95,13.17
NEA,2014,4,1.04,0.57,-0.17,-0.93,13.73,0.56,0.06,47.5,3.45,3.45,7113.89,-1.45,-0.94,5.61,1.66,1.13,14.73,-0.7,-0.35,9.09
NEF,2014,4,0.48,-0.2,-0.36,-2.25,13.88,0.91,0.42,41.41,-0.35,-0.35,6852.93,-1.11,0.22,10.79,0.86,-0.06,10.08,0.7,0.85,11.68
NPL,2014,4,-0.03,-0.26,-0.17,-1.2,26.86,0.71,0.56,21.55,-2.08,-2.08,7060.0,-0.55,0.31,11.87,0.12,0.63,12.67,0.69,0.42,11.11
NWP,2014,4,0.54,0.79,0.07,-1.23,20.85,1.56,3.29,65.92,0.31,0.31,7131.37,-0.73,-0.62,6.84,0.48,1.59,16.62,0.12,-1.65,6.05
SEA,2014,4,0.49,0.27,-0.3,-1.16,19.91,0.24,0.74,65.61,3.02,3.02,7271.28,-0.48,0.48,11.65,0.67,-0.29,8.37,-1.15,-0.68,8.34
SPL,2014,4,0.84,0.59,0.2,-1.32,35.72,-0.03,0.24,37.38,2.87,2.87,7364.56,-0.39,0.78,12.95,0.76,0.61,11.56,0.84,1.66,13.86
SWP,2014,4,0.36,0.96,-0.09,-0.05,69.01,0.03,0.23,24.55,1.05,1.05,7205.38,-0.61,-0.9,6.32,1.15,2.91,17.74,-0.6,-1.06,5.64
CAN,2014,4,0.68,0.52,-0.25,-2.36,20.56,1.76,2.22,41.57,-0.32,-0.32,7038.81,-1.17,-0.27,9.12,0.85,0.95,12.66,0.85,0.99,11.58
USA,2014,4,0.7,0.8,-0.05,-0.83,37.48,0.48,0.4,39.66,2.41,2.41,7175.67,-0.95,0.03,9.99,1.05,1.61,12.81,-0.62,-0.18,9.7
USC,2014,4,0.81,0.87,-0.08,-1.16,33.23,0.95,0.87,40.31,1.53,1.53,7146.85,-1.19,-0.14,9.6,1.14,1.45,12.74,0.12,0.5,10.63
ALA,2015,1,-0.36,0.41,1.27,2.72,46.76,0.02,-0.2,20.28,-4.17,-4.17,6906.33,-0.72,-1.49,1.4,0.59,1.71,21.01,-0.61,-0.38,9.17
CAR,2015,1,0.83,0.88,,,,-0.06,-0.19,9.46,,,,-1.29,-1.49,2.91,1.11,1.14,16.05,0.96,1.07,13.16
CEA,2015,1,0.7,-0.4,-0.48,-1.29,14.43,0.83,-0.31,36.09,3.93,3.93,7059.52,-1.11,1.09,15.42,0.81,-0.7,7.1,-1.97,-1.3,6.49
CWP,2015,1,0.23,0.58,-0.48,-1.82,31.95,0.98,1.03,58.59,0.6,0.6,7185.87,-0.42,-1.16,3.4,0.47,3.13,23.23,-0.62,-1.02,6.29
MID,2015,1,0.14,-0.82,-0.72,-1.66,19.45,0.37,-0.93,18.81,,,,-0.3,0.57,13.15,0.18,0.02,10.17,0.58,-0.98,7.53
NEA,2015,1,0.92,-0.05,-0.23,-1.22,13.25,0.58,0.78,46.2,3.32,3.32,7131.67,-1.28,1.12,14.78,1.43,-0.62,8.07,-0.84,-1.21,6.73
NEF,2015,1,0.39,-1.05,-0.5,-2.38,13.66,0.84,-1.58,21.3,-0.38,-0.38,6802.27,-0.96,1.08,14.34,0.81,-0.31,9.26,0.59,-0.54,9.04
NPL,2015,1,-0.01,-0.11,-0.26,-1.3,26.51,0.77,0.49,13.09,-2.14,-2.14,6776.67,-0.57,-0.91,5.48,0.21,1.41,17.92,0.77,0.92,12.7
NWP,2015,1,0.59,0.94,-0.02,-1.3,20.67,1.75,2.82,61.35,0.29,0.29,7165.82,-0.75,-1.28,2.32,0.58,2.78,24.82,0.17,-1.07,7.76
SEA,2015,1,0.49,-0.28,-0.32,-1.1,20.04,0.17,-0.34,53.22,3.05,3.05,7150.17,-0.5,0.14,10.86,0.71,-0.82,6.15,-1.19,-2.87,4.46
SPL,2015,1,0.84,0.38,0.12,-1.4,35.47,-0.11,0.05,19.76,2.86,2.86,7205.0,-0.43,-0.35,8.53,0.93,1.18,13.75,0.84,-0.98,8.1
SWP,2015,1,0.39,0.87,-0.1,-0.25,67.4,-0.04,0.05,29.24,1.05,1.05,7158.79,-0.68,-1.35,4.44,1.36,2.87,22.45,-0.6,-1.04,6.04
CAN,2015,1,0.66,0.29,-0.41,-2.54,20.3,1.88,1.56,30.72,-0.37,-0.37,7025.75,-1.13,-0.66,7.78,0.88,1.5,15.46,0.85,0.44,10.79
USA,2015,1,0.71,0.27,-0.08,-0.96,37.12,0.4,-0.15,29.99,2.36,2.36,7087.22,-0.97,-0.77,7.66,1.24,2.02,15.29,-0.64,-2.16,6.95
USC,2015,1,0.8,0.36,-0.14,-1.32,32.89,0.91,0.35,30.26,1.48,1.48,7074.28,-1.18,-0.76,7.72,1.25,1.9,15.34,0.1,-1.16,8.86
ALA,2015,2,-0.34,-0.09,1.36,1.86,43.06,0.09,0.25,20.34,-4.26,-4.26,6755.37,-0.72,-1.06,1.95,0.68,2.97,27.54,-0.66,-1.53,5.76
CAR,2015,2,0.75,0.61,,,,-0.24,-2.4,4.59,,,,-1.28,-1.57,3.26,1.01,2.36,19.97,0.93,0.91,12.3
CEA,2015,2,0.61,-0.57,-0.53,-0.95,15.04,0.72,-1.33,34.51,3.75,3.75,7052.26,-1.0,-0.02,9.8,0.69,0.68,12.64,-1.97,-2.76,3.45
CWP,2015,2,0.22,0.01,-0.52,-1.52,34.16,0.9,0.05,30.96,0.56,0.56,7007.4,-0.55,-1.94,2.72,0.61,1.93,18.38,-0.8,-2.72,3.89
MID,2015,2,0.08,-0.62,-0.79,-1.29,20.42,0.36,-0.43,40.27,,,,-0.22,-0.16,9.43,0.1,-0.08,9.73,0.51,-1.47,6.0
NEA,2015,2,0.85,-0.18,-0.32,-1.23,13.22,0.53,-0.9,34.76,3.27,3.27,7078.33,-1.17,0.49,12.26,1.28,-0.34,8.59,-0.82,-0.97,7.99
NEF,2015,2,0.32,-0.62,-0.66,-2.15,14.05,0.85,-0.45,30.79,-0.4,-0.4,6880.93,-0.84,-0.09,9.77,0.67,0.25,11.35,0.62,0.19,10.41
NPL,2015,2,-0.09,-0.34,-0.35,-1.35,26.33,0.51,-1.26,15.06,-2.19,-2.19,6686.67,-0.57,-0.87,6.13,0.21,1.16,16.41,0.69,1.17,12.72
NWP,2015,2,0.61,1.51,-0.1,-0.92,21.57,1.88,3.63,46.21,0.26,0.26,7036.19,-0.78,-1.66,1.83,0.71,4.18,27.3,0.11,-0.63,8.71
SEA,2015,2,0.48,0.29,-0.35,-1.02,20.2,0.17,-0.34,59.63,3.09,3.09,7150.46,-0.48,-1.01,6.97,0.75,1.5,14.3,-1.24,-2.17,3.76
SPL,2015,2,0.84,0.67,0.06,-1.56,34.95,0.02,3.48,49.26,2.91,2.91,7285.67,-0.41,-0.32,9.01,0.96,0.22,10.55,0.67,-1.71,6.2
SWP,2015,2,0.42,0.55,-0.15,-0.99,61.63,-0.03,0.54,24.48,1.14,1.14,7078.42,-0.74,-1.01,5.97,1.48,1.44,16.2,-0.69,-1.44,3.42
CAN,2015,2,0.6,0.12,-0.58,-2.34,20.6,1.82,0.63,29.1,-0.4,-0.4,6968.46,-1.1,-1.08,6.26,0.83,1.78,16.98,0.81,0.71,11.06
USA,2015,2,0.68,0.19,-0.14,-1.46,35.79,0.42,0.89,39.14,2.27,2.27,7040.42,-0.97,-1.31,6.76,1.32,2.22,15.23,-0.78,-2.89,4.82
USC,2015,2,0.75,0.17,-0.23,-1.73,31.97,0.92,0.99,36.36,1.41,1.41,7025.27,-1.16,-1.29,6.54,1.26,2.26,15.97,-0.05,-1.98,7.92
ALA,2015,3,-0.32,-0.1,1.38,0.99,39.35,0.1,-0.11,32.34,-4.24,-4.24,6752.67,-0.72,-1.07,5.28,0.8,2.12,17.38,-0.65,-0.28,9.29
CAR,2015,3,0.73,1.02,,,,-0.26,0.23,28.07,,,,-1.24,-1.28,6.18,1.0,1.55,15.45,0.93,1.01,11.54
CEA,2015,3,0.58,0.59,-0.57,-0.61,15.66,0.75,0.88,58.3,3.74,3.74,7202.39,-0.96,-1.4,6.15,0.57,-0.15,8.95,-1.98,-2.79,3.69
CWP,2015,3,0.27,0.94,-0.54,-1.21,36.38,0.81,-0.57,15.05,0.7,0.7,7014.73,-0.64,-1.86,4.11,0.84,3.9,24.47,-0.85,-0.72,7.66
MID,2015,3,0.02,0.07,-0.84,-0.92,21.38,0.33,1.7,63.94,,,,-0.1,-0.15,9.38,0.02,-0.88,5.02,0.51,0.3,10.87
NEA,2015,3,0.8,0.27,-0.44,-1.25,13.19,0.48,-0.01,48.12,3.19,3.19,7058.33,-1.12,-0.93,7.24,1.24,0.71,12.85,-0.76,-1.37,7.36
NEF,2015,3,0.28,-0.13,-0.83,-1.91,14.44,0.83,0.2,45.88,-0.33,-0.33,6854.93,-0.81,-1.25,6.13,0.58,-0.41,8.43,0.64,0.25,10.44
NPL,2015,3,-0.12,-0.33,-0.46,-1.4,26.15,0.46,0.25,36.9,-2.21,-2.21,6901.67,-0.57,-1.19,5.99,0.3,1.08,14.51,0.63,-0.64,8.71
NWP,2015,3,0.66,1.49,-0.16,-0.53,22.47,1.97,1.96,44.85,0.35,0.35,7031.37,-0.82,-1.95,4.2,0.91,4.1,23.6,0.09,1.23,12.81
SEA,2015,3,0.46,1.13,-0.4,-0.95,20.35,0.22,0.3,68.49,3.12,3.12,7211.49,-0.43,-1.35,5.24,0.6,1.48,16.36,-1.18,0.54,11.46
SPL,2015,3,0.79,0.68,0.01,-1.72,34.43,-0.05,0.72,45.06,2.87,2.87,7264.78,-0.39,-1.03,7.35,0.93,0.55,11.32,0.6,-0.02,9.97
SWP,2015,3,0.45,1.08,-0.24,-1.72,55.86,-0.01,0.97,22.13,1.33,1.33,7174.83,-0.78,-1.36,6.12,1.54,2.85,18.08,-0.74,-0.88,6.38
CAN,2015,3,0.58,0.48,-0.76,-2.14,20.91,1.81,1.18,42.14,-0.32,-0.32,6969.81,-1.09,-1.9,5.68,0.88,1.71,14.69,0.79,0.5,10.58
USA,2015,3,0.65,1.12,-0.22,-1.95,34.45,0.39,1.39,43.79,2.34,2.34,7120.71,-0.94,-2.16,6.49,1.3,1.79,14.17,-0.82,-0.63,8.97
USC,2015,3,0.73,1.04,-0.34,-2.15,31.05,0.88,1.89,43.33,1.49,1.49,7088.94,-1.14,-2.37,6.18,1.27,2.06,14.36,-0.09,-0.23,9.77
ALA,2015,4,-0.3,0.55,1.32,0.13,35.64,0.28,4.17,54.58,-4.23,-4.23,6896.04,-0.68,-0.69,6.74,0.81,1.93,19.82,-0.65,-0.51,9.06
CAR,2015,4,0.7,0.93,,,,-0.27,-0.71,13.59,,,,-1.23,-1.54,3.65,0.91,1.3,14.76,0.93,1.58,13.82
CEA,2015,4,0.57,1.21,-0.6,-0.27,16.27,0.72,1.62,63.42,3.72,3.72,7200.2,-0.96,-1.81,3.66,0.61,1.41,16.16,-2.01,-1.31,5.49
CWP,2015,4,0.28,0.47,-0.54,-0.9,38.59,0.8,1.07,42.69,0.79,0.79,7096.93,-0.66,-0.42,7.46,0.87,1.46,15.34,-0.92,-1.06,6.8
MID,2015,4,0.04,1.03,-0.88,-0.55,22.35,0.34,0.54,48.62,,,,-0.13,-1.93,2.59,0.1,1.64,16.17,0.5,1.58,15.24
NEA,2015,4,0.75,0.94,-0.6,-1.27,13.17,0.48,2.36,63.01,3.09,3.09,7095.0,-1.09,-1.11,4.81,1.24,1.62,16.74,-0.81,-0.3,9.23
NEF,2015,4,0.23,0.69,-1.02,-1.67,14.84,0.72,0.39,41.31,-0.38,-0.38,6746.93,-0.82,-1.87,2.88,0.68,2.64,20.05,0.59,1.78,13.49
NPL,2015,4,-0.15,0.06,-0.58,-1.45,25.97,0.45,1.28,24.49,-2.26,-2.26,6996.67,-0.61,-1.27,3.37,0.34,1.26,15.1,0.57,0.13,10.36
NWP,2015,4,0.68,1.32,-0.21,-0.15,23.37,2.09,4.65,72.06,0.41,0.41,7090.26,-0.81,-0.71,6.35,0.94,1.07,14.47,0.07,0.45,11.09
SEA,2015,4,0.49,1.34,-0.47,-0.87,20.5,0.27,1.78,75.1,3.24,3.24,7347.87,-0.45,-1.35,4.76,0.6,0.96,13.52,-1.13,-0.41,9.01
SPL,2015,4,0.83,1.46,-0.03,-1.89,33.92,0.03,1.26,44.85,2.95,2.95,7469.78,-0.44,-1.88,3.38,1.01,2.17,15.78,0.59,0.68,11.58
SWP,2015,4,0.48,0.97,-0.37,-2.46,50.1,-0.02,-0.16,22.28,1.56,1.56,7258.92,-0.82,-1.08,5.64,1.64,3.86,20.32,-0.75,-0.56,7.68
CAN,2015,4,0.55,1.22,-0.96,-1.94,21.21,1.79,3.85,45.43,-0.34,-0.34,6977.42,-1.11,-1.76,3.98,0.93,2.51,16.64,0.75,1.46,12.32
USA,2015,4,0.69,1.71,-0.34,-2.45,33.12,0.47,2.16,47.1,2.46,2.46,7199.27,-0.97,-2.04,4.7,1.4,3.89,17.0,-0.83,-0.19,9.69
USC,2015,4,0.74,1.73,-0.47,-2.57,30.13,0.95,2.76,46.45,1.58,1.58,7152.57,-1.16,-2.08,4.38,1.35,3.63,16.83,-0.12,0.79,10.99
ALA,2016,1,-0.27,0.29,1.23,-0.28,33.85,0.26,-0.52,19.1,-4.11,-4.11,7030.45,-0.72,-1.7,0.14,0.92,1.68,20.87,-0.63,0.44,11.08
CAR,2016,1,0.7,0.82,,,,-0.25,0.24,10.76,,,,-1.27,-1.89,0.9,0.96,1.68,18.61,0.84,-0.54,8.41
CEA,2016,1,0.61,1.27,-0.64,-0.11,16.56,0.73,0.82,43.26,3.74,3.74,7122.12,-1.0,-1.48,3.74,0.85,4.13,26.4,-2.04,-2.37,3.6
CWP,2016,1,0.31,0.69,-0.53,-0.66,40.37,0.81,1.47,63.3,0.88,0.88,7274.93,-0.72,-1.14,3.51,0.91,0.6,12.45,-0.92,-0.55,7.96
MID,2016,1,0.12,1.62,-0.9,-0.39,22.74,0.46,2.49,40.44,,,,-0.19,-1.47,2.6,0.29,2.52,19.76,0.54,2.03,15.2
NEA,2016,1,0.68,0.94,-0.74,-1.05,13.53,0.47,-0.12,40.58,2.94,2.94,7138.33,-1.1,-1.98,2.72,1.22,2.99,20.02,-0.91,-1.4,6.21
NEF,2016,1,0.26,1.54,-1.21,-1.48,15.15,0.83,2.18,32.62,-0.42,-0.42,6871.6,-0.86,-2.06,2.83,0.87,4.71,24.14,0.6,1.54,12.62
NPL,2016,1,-0.18,-0.45,-0.69,-1.43,26.06,0.34,-0.92,10.53,-2.29,-2.29,6845.0,-0.68,-1.74,1.13,0.44,1.49,18.35,0.44,-0.97,7.23
NWP,2016,1,0.71,0.94,-0.26,-0.07,23.55,2.15,2.4,58.93,0.51,0.51,7237.67,-0.87,-1.52,0.81,1.04,1.64,18.88,-0.07,-2.06,5.68
SEA,2016,1,0.59,1.38,-0.52,-0.33,21.59,0.41,1.7,74.1,3.45,3.45,7212.72,-0.54,-1.55,3.23,0.74,1.89,18.6,-1.07,-1.31,7.47
SPL,2016,1,0.9,1.23,-0.07,-1.91,33.83,0.16,2.19,28.55,3.08,3.08,7289.39,-0.54,-1.8,2.07,1.08,0.94,12.99,0.61,0.16,10.32
SWP,2016,1,0.48,0.12,-0.5,-2.67,48.41,-0.08,0.22,30.73,1.66,1.66,7159.88,-0.89,-1.22,4.94,1.66,0.57,12.44,-0.77,-0.82,6.88
CAN,2016,1,0.54,1.0,-1.15,-1.81,21.41,1.84,2.17,32.16,-0.31,-0.31,7092.52,-1.17,-2.25,1.68,1.06,2.9,20.24,0.64,-0.73,8.67
USA,2016,1,0.76,1.32,-0.46,-2.52,32.94,0.56,2.35,39.07,2.62,2.62,7154.13,-1.07,-2.28,2.78,1.56,2.47,16.47,-0.81,-0.53,9.27
USC,2016,1,0.78,1.33,-0.61,-2.61,30.04,1.05,3.01,36.8,1.71,1.71,7141.16,-1.25,-2.4,2.28,1.51,2.94,18.15,-0.21,-1.05,8.97
ALA,2016,2,-0.2,0.42,1.18,0.19,35.91,0.46,2.27,27.16,-4.09,-4.09,6792.48,-0.73,-1.24,0.55,1.12,4.1,34.29,-0.6,-0.87,7.61
CAR,2016,2,0.82,1.87,,,,-0.07,1.47,16.27,,,,-1.35,-2.0,1.33,1.15,3.6,25.03,0.85,0.43,11.08
CEA,2016,2,0.55,0.14,-0.66,-0.3,16.21,0.48,-1.6,32.45,3.7,3.7,7152.54,-0.95,-0.6,8.18,0.89,1.38,15.38,-2.06,-2.41,4.29
CWP,2016,2,0.35,0.9,-0.53,-0.54,41.25,0.73,0.95,37.37,0.86,0.86,7072.0,-0.86,-2.12,2.1,1.1,2.3,20.01,-0.93,-1.06,7.62
MID,2016,2,0.09,0.07,-0.92,-0.68,22.0,0.38,0.53,45.99,,,,-0.24,-0.96,6.75,0.31,0.34,11.54,0.45,-0.82,7.78
NEA,2016,2,0.67,0.58,-0.8,-0.37,14.67,0.43,0.43,45.96,2.95,2.95,7078.33,-1.06,-0.19,9.12,1.25,0.9,14.31,-0.88,-0.53,8.9
NEF,2016,2,0.21,0.0,-1.34,-1.38,15.31,0.69,0.34,34.12,-0.43,-0.43,7286.93,-0.84,-0.4,8.83,0.93,0.86,13.96,0.59,-0.66,8.66
NPL,2016,2,-0.14,0.25,-0.78,-1.26,26.67,0.44,2.15,23.92,-2.3,-2.3,6666.67,-0.74,-1.31,4.01,0.58,1.69,19.26,0.44,0.36,10.85
NWP,2016,2,0.78,1.92,-0.32,-0.61,22.3,2.27,3.42,45.45,0.5,0.5,7071.37,-0.96,-1.84,0.97,1.34,5.46,32.58,-0.09,-0.49,8.99
SEA,2016,2,0.6,1.01,-0.48,1.12,24.52,0.37,0.36,67.18,3.57,3.57,7217.74,-0.58,-1.53,5.52,0.67,0.55,11.27,-1.12,-1.59,5.45
SPL,2016,2,0.93,1.57,-0.17,-1.67,34.61,0.44,4.76,54.32,3.2,3.2,7414.33,-0.6,-1.32,5.87,1.06,0.54,11.54,0.45,-0.53,8.83
SWP,2016,2,0.48,0.51,-0.59,-1.85,54.9,-0.08,0.75,25.75,1.7,1.7,7056.67,-0.97,-1.5,4.16,1.71,1.07,14.55,-0.81,-0.57,7.38
CAN,2016,2,0.55,1.0,-1.29,-1.82,21.39,1.85,2.89,33.84,-0.32,-0.32,7113.88,-1.22,-1.49,4.8,1.23,2.78,20.77,0.63,-0.04,9.95
USA,2016,2,0.77,1.16,-0.54,-1.73,35.06,0.58,2.23,43.69,2.66,2.66,7106.25,-1.15,-2.17,4.69,1.66,2.64,16.26,-0.9,-1.52,7.28
USC,2016,2,0.8,1.15,-0.72,-1.89,31.63,1.07,2.67,40.83,1.73,1.73,7107.86,-1.32,-1.97,4.73,1.67,3.1,18.18,-0.29,-1.33,8.61
ALA,2016,3,-0.15,0.32,1.18,0.67,37.96,0.47,0.71,37.51,-4.12,-4.12,6715.67,-0.79,-1.75,2.73,1.34,3.86,23.66,-0.55,-0.08,9.8
CAR,2016,3,0.86,1.86,,,,-0.07,0.55,31.27,,,,-1.39,-2.42,2.81,1.28,2.88,19.92,0.85,1.58,12.41
CEA,2016,3,0.53,1.04,-0.67,-0.5,15.86,0.41,-0.02,51.15,3.61,3.61,7188.18,-0.94,-2.65,2.89,0.94,2.0,17.32,-2.04,-2.23,4.97
CWP,2016,3,0.36,-0.01,-0.54,-0.42,42.14,0.71,-1.05,12.77,0.81,0.81,6948.67,-0.9,-1.08,6.38,1.2,1.2,14.22,-0.94,-1.18,6.13
MID,2016,3,0.1,0.69,-0.94,-0.97,21.26,0.46,1.95,65.42,,,,-0.24,-2.19,4.1,0.28,0.42,11.9,0.44,-0.16,9.58
NEA,2016,3,0.65,0.87,-0.77,0.31,15.81,0.34,-0.24,46.16,2.93,2.93,7105.0,-1.04,-1.47,5.63,1.26,0.61,12.44,-0.89,-0.78,8.5
NEF,2016,3,0.21,0.67,-1.42,-1.29,15.47,0.7,1.07,48.71,-0.49,-0.49,6826.27,-0.82,-1.97,3.94,0.95,0.88,13.7,0.69,1.72,12.97
NPL,2016,3,-0.17,-0.18,-0.83,-1.09,27.29,0.4,0.68,39.16,-2.32,-2.32,6876.67,-0.77,-1.68,4.35,0.58,-0.34,8.81,0.41,0.6,11.23
NWP,2016,3,0.79,0.86,-0.39,-1.14,21.05,2.19,0.55,38.15,0.41,0.41,6978.78,-1.03,-2.3,3.22,1.56,3.56,21.81,-0.08,0.87,11.99
SEA,2016,3,0.64,2.19,-0.34,2.58,27.46,0.42,0.56,70.36,3.62,3.62,7238.15,-0.58,-2.16,2.63,0.64,2.94,23.74,-1.07,0.13,10.36
SPL,2016,3,0.91,1.37,-0.31,-1.42,35.38,0.64,1.24,47.29,3.29,3.29,7342.78,-0.55,-1.66,5.88,0.87,1.39,14.22,0.42,0.67,11.71
SWP,2016,3,0.49,0.82,-0.62,-1.02,61.39,-0.08,-0.64,17.29,1.73,1.73,7122.38,-1.0,-1.92,4.74,1.73,3.11,18.86,-0.83,-0.72,7.03
CAN,2016,3,0.53,0.76,-1.4,-1.84,21.36,1.76,1.11,41.97,-0.41,-0.41,6932.63,-1.25,-2.7,3.94,1.32,1.66,14.55,0.66,1.78,12.03
USA,2016,3,0.78,1.67,-0.6,-0.94,37.19,0.72,1.37,43.73,2.63,2.63,7107.13,-1.17,-3.64,4.37,1.65,3.12,17.69,-0.9,-0.5,9.19
USC,2016,3,0.81,1.59,-0.79,-1.17,33.21,1.19,1.85,43.26,1.67,1.67,7070.39,-1.35,-3.7,4.21,1.7,3.01,16.5,-0.28,0.55,10.6
ALA,2016,4,-0.12,-0.16,1.21,1.15,40.01,0.48,-0.95,28.98,-4.14,-4.14,6890.0,-0.86,-1.67,2.21,1.45,1.51,17.64,-0.57,-1.12,7.9
CAR,2016,4,0.88,1.15,,,,0.0,1.07,25.15,,,,-1.37,-1.38,4.35,1.36,2.31,18.18,0.77,-0.14,9.67
CEA,2016,4,0.51,1.01,-0.66,-0.69,15.51,0.27,-0.35,46.01,3.59,3.59,7214.53,-0.99,-2.42,1.61,0.91,1.26,15.51,-2.02,-1.02,6.49
CWP,2016,4,0.42,1.41,-0.55,-0.29,43.03,0.82,2.0,50.87,0.96,0.96,7154.27,-0.93,-1.0,4.33,1.24,1.69,16.18,-0.86,0.96,12.91
MID,2016,4,0.12,0.91,-0.96,-1.25,20.51,0.49,0.05,44.4,,,,-0.33,-2.39,0.87,0.38,2.31,18.68,0.36,1.05,13.49
NEA,2016,4,0.65,0.84,-0.65,0.99,16.95,0.31,-0.81,41.64,2.94,2.94,7148.33,-1.04,-1.45,3.19,1.2,1.45,16.06,-0.92,-1.43,6.26
NEF,2016,4,0.2,0.74,-1.45,-1.19,15.63,0.66,0.35,41.1,-0.53,-0.53,6734.93,-0.85,-2.26,1.4,0.94,2.33,18.9,0.71,1.69,13.32
NPL,2016,4,-0.15,0.36,-0.86,-0.92,27.9,0.52,1.88,26.91,-2.36,-2.36,6933.33,-0.77,-1.1,4.28,0.63,2.43,19.66,0.36,0.24,10.64
NWP,2016,4,0.8,1.06,-0.48,-1.67,19.8,2.27,4.02,69.23,0.52,0.52,7147.3,-1.05,-1.18,3.98,1.66,1.58,16.55,-0.2,-1.17,7.21
SEA,2016,4,0.71,1.87,-0.12,4.03,30.4,0.33,-0.8,51.58,3.74,3.74,7331.36,-0.69,-2.19,1.57,0.74,2.0,17.84,-1.12,-1.07,7.36
SPL,2016,4,0.94,1.69,-0.5,-1.18,36.16,0.68,-0.18,34.36,3.48,3.48,7512.67,-0.62,-2.07,2.68,0.98,3.43,19.21,0.37,0.67,11.57
SWP,2016,4,0.54,0.98,-0.6,-0.19,67.87,-0.05,0.26,24.75,1.81,1.81,7148.92,-1.05,-1.35,4.56,1.83,3.06,18.14,-0.8,-0.12,9.53
CAN,2016,4,0.54,1.15,-1.46,-1.85,21.34,1.86,3.31,44.16,-0.38,-0.38,7005.13,-1.26,-1.98,3.23,1.38,3.1,18.16,0.58,0.07,10.12
USA,2016,4,0.83,1.92,-0.63,-0.15,39.31,0.73,-0.11,37.54,2.73,2.73,7192.3,-1.27,-2.85,2.64,1.82,4.48,18.08,-0.92,-0.06,9.91
USC,2016,4,0.84,1.8,-0.83,-0.45,34.8,1.22,0.64,39.56,1.76,1.76,7152.9,-1.41,-2.62,2.91,1.83,4.31,18.12,-0.35,0.0,10.01
ALA,2017,1,-0.1,-0.12,1.25,1.38,40.99,0.54,2.21,29.04,-4.19,-4.19,6782.7,-0.93,-1.25,2.87,1.44,-0.29,8.64,-0.58,-0.76,8.28
CAR,2017,1,0.9,1.36,,,,0.17,2.78,18.53,,,,-1.34,-0.99,5.41,1.33,0.69,13.96,0.77,0.96,12.83
CEA,2017,1,0.54,0.84,-0.65,-0.66,15.56,0.31,0.1,38.7,3.61,3.61,7094.12,-0.97,-1.64,3.0,0.96,2.68,20.62,-1.97,-1.77,5.22
CWP,2017,1,0.42,0.03,-0.56,-0.15,44.03,0.82,1.64,65.07,1.07,1.07,7185.67,-0.83,1.14,16.24,1.2,-1.08,5.31,-0.82,-0.05,9.78
MID,2017,1,0.13,0.97,-0.97,-1.38,20.2,0.49,0.12,25.44,,,,-0.3,-1.23,3.85,0.43,2.7,20.48,0.39,2.16,15.52
NEA,2017,1,0.7,1.23,-0.48,1.43,17.68,0.33,-0.19,40.18,3.04,3.04,7181.67,-1.01,-1.82,3.33,1.19,0.72,12.5,-0.87,-0.76,7.95
NEF,2017,1,0.21,0.74,-1.44,-1.09,15.79,0.7,0.39,27.22,-0.5,-0.5,6837.6,-0.82,-1.92,3.32,0.98,3.02,19.14,0.69,0.29,10.47
NPL,2017,1,-0.17,-0.18,-0.87,-0.74,28.54,0.56,-0.24,11.76,-2.33,-2.33,6913.33,-0.69,-0.02,10.15,0.59,0.73,14.26,0.34,1.28,13.75
NWP,2017,1,0.78,0.2,-0.56,-1.65,19.85,2.36,2.78,61.1,0.61,0.61,7129.89,-0.99,0.35,12.47,1.62,-0.56,7.38,-0.31,0.38,10.78
SEA,2017,1,0.79,1.61,0.13,4.56,31.46,0.34,-0.49,51.66,3.81,3.81,7130.1,-0.67,-1.52,3.39,0.87,3.1,24.14,-1.07,-2.22,5.71
SPL,2017,1,0.93,1.66,-0.71,-1.0,36.74,0.72,2.48,29.74,3.56,3.56,7300.22,-0.58,-0.64,7.24,1.05,2.34,17.36,0.41,1.17,12.28
SWP,2017,1,0.61,1.13,-0.56,0.3,71.76,0.12,2.54,52.07,1.93,1.93,7142.58,-1.02,-0.46,8.0,1.91,1.43,16.17,-0.75,0.19,10.75
