Region,Year,Month,ACI_Combined_Monthly_Smoothed,ACI_Combined_Monthly_Unsmoothed,CDD_Monthly_Smoothed,CDD_Monthly_Unsmoothed,CDD_Monthly_Unsmoothed_Unstandardized,Rx5Day_Monthly_Smoothed,Rx5Day_Monthly_Unsmoothed,Rx5Day_Monthly_Unsmoothed_Unstandardized,Sea_Level_Monthly_Smoothed,Sea_Level_Monthly_Unsmoothed,Sea_Level_Monthly_Unsmoothed_Unstandardized,T10_Monthly_Smoothed,T10_Monthly_Unsmoothed,T10_Monthly_Unsmoothed_Unstandardized,T90_Monthly_Smoothed,T90_Monthly_Unsmoothed,T90_Monthly_Unsmoothed_Unstandardized,WP90_Monthly_Smoothed,WP90_Monthly_Unsmoothed,WP90_Monthly_Unsmoothed_Unstandardized
ALA,1961.0,8.0,0.22,0.39,0.22,-0.28,33.88,0.01,1.4,58.78,1.19,1.51,7156.78,0.03,0.07,9.83,-0.09,-0.86,3.84,0.05,0.63,12.64
CAR,1961.0,8.0,-0.07,0.18,,,,0.11,-0.47,19.07,,,,0.06,-0.43,7.87,-0.14,-0.14,9.5,-0.17,0.9,12.48
CEA,1961.0,8.0,-0.24,-0.58,-0.25,-0.03,16.7,-0.14,-0.25,50.03,-0.77,-1.61,7000.41,-0.05,-0.3,8.39,-0.06,-0.35,7.5,-0.28,-1.56,3.52
CWP,1961.0,8.0,0.12,0.32,0.47,0.13,46.06,-0.32,-0.42,11.25,0.24,-0.34,6932.0,-0.32,-1.39,1.77,0.12,2.11,22.57,-0.09,-0.91,6.2
MID,1961.0,8.0,0.09,0.02,0.72,0.74,25.68,-0.09,-0.63,46.6,,,,-0.12,-0.9,5.54,-0.16,-0.28,7.69,-0.15,-0.61,7.5
NEA,1961.0,8.0,-0.22,-0.08,-0.1,2.13,18.84,-0.2,-0.42,43.89,-0.93,-1.86,6885.0,-0.16,-0.37,8.23,0.07,0.48,12.66,-0.29,-1.16,5.2
NEF,1961.0,8.0,0.08,0.26,0.97,2.08,21.04,-0.25,-1.2,40.24,-0.21,0.31,6838.0,-0.1,-0.64,6.61,-0.12,0.0,10.16,0.01,-0.25,9.21
NPL,1961.0,8.0,0.22,0.36,-0.19,0.26,32.13,-0.26,-1.94,14.82,1.22,1.1,7400.0,-0.06,-1.22,2.5,-0.03,2.05,25.05,0.51,-0.54,8.03
NWP,1961.0,8.0,0.33,1.13,0.78,1.21,26.54,0.16,2.13,53.93,-0.04,-0.24,6981.11,-0.13,-0.85,5.31,0.12,1.03,16.1,0.81,1.83,16.75
SEA,1961.0,8.0,-0.12,-0.32,-0.15,0.3,22.86,0.18,0.35,69.96,-0.86,-1.0,7042.0,-0.08,0.49,11.68,-0.11,-0.57,4.77,0.13,-0.49,8.33
SPL,1961.0,8.0,-0.13,-0.44,0.48,-0.27,39.04,0.02,-0.92,29.93,-1.26,-0.7,6981.67,-0.1,-0.28,8.72,-0.14,0.1,9.83,0.0,-1.14,4.31
SWP,1961.0,8.0,0.1,0.22,0.66,0.71,74.94,-0.35,0.62,25.94,0.06,-0.61,7063.88,-0.33,-0.9,5.76,0.12,0.21,10.06,-0.22,-0.51,7.35
CAN,1961.0,8.0,0.1,0.69,0.49,1.56,26.51,-0.24,-0.95,34.47,-0.03,0.25,6956.56,-0.11,-1.33,5.23,-0.03,1.49,16.13,0.29,0.48,10.95
USA,1961.0,8.0,0.04,-0.2,0.75,0.46,40.94,-0.11,-0.3,39.16,-0.41,-0.91,7034.7,-0.24,-0.8,7.78,-0.09,-0.21,8.78,-0.11,-1.03,7.33
USC,1961.0,8.0,0.08,0.15,0.77,0.69,37.32,-0.2,-0.66,37.97,-0.29,-0.55,7018.25,-0.21,-1.21,6.8,-0.06,0.69,11.59,0.06,-0.49,9.12
ALA,1961.0,9.0,0.24,0.27,0.23,-0.28,33.87,0.02,1.4,52.84,1.19,0.3,7108.67,0.0,-0.67,4.52,-0.09,-0.7,5.3,0.07,0.21,10.57
CAR,1961.0,9.0,-0.07,-0.77,,,,0.09,-0.6,16.24,,,,0.05,0.92,15.38,-0.15,-1.15,5.01,-0.18,-0.42,8.52
CEA,1961.0,9.0,-0.22,0.52,-0.26,0.11,16.96,-0.15,-0.83,38.53,-0.78,-0.91,7053.59,-0.12,-1.46,3.21,0.01,3.71,36.55,-0.27,-0.42,8.22
CWP,1961.0,9.0,0.13,-0.11,0.47,0.04,45.41,-0.3,0.17,24.43,0.23,-1.13,6921.8,-0.29,1.14,17.04,0.11,-1.11,2.94,-0.04,2.49,20.68
